pub_date	title	venue	excerpt	citation	url_slug	paper_url
2021-05	New risk model is able to identify patients with a low risk of progression in systemic sclerosis	RMD Open	To develop a prediction model to guide annual assessment of systemic sclerosis (SSc) patients tailored in accordance to disease activity.	van Leeuwen NM, Maurits M, Liem S, Ciaffi J, Ajmone Marsan N, Ninaber M, Allaart C, Gillet van Dongen H, Goekoop R, Huizinga T, Knevel R, De Vries-Bouwstra J. (2021) &quot;New risk model is able to identify patients with a low risk of progression in systemic sclerosis&quot; <i>RMD Open. 2021 May;7(2):e001524. doi: 10.1136/rmdopen-2020-001524.</i>	new-risk-model-is-able-to-identify-patients-with-a-low-risk-of-progression-in-systemic-sclerosis	https://doi.org/10.1136/rmdopen-2020-001524
2022 Apr 25	Rheumatic?-A Digital Diagnostic Decision Support Tool for Individuals Suspecting Rheumatic Diseases: A Multicenter Pilot Validation Study	Front Med (Lausanne)	Digital diagnostic decision support tools promise to accelerate diagnosis and increase health care efficiency in rheumatology. Rheumatic? is an online tool developed by specialists in rheumatology and general medicine together with patients and patient organizations. It calculates a risk score for several rheumatic diseases. We ran a pilot study retrospectively testing Rheumatic? for its ability to differentiate symptoms from existing or emerging immune-mediated rheumatic diseases from other rheumatic and musculoskeletal complaints and disorders in patients visiting rheumatology clinics.MATERIALS AND 	Knevel R, Knitza J, Hensvold A, Circiumaru A, Bruce T, Evans S, Maarseveen T, Maurits M, Beaart-van de Voorde L, Simon D, Kleyer A, Johannesson M, Schett G, Huizinga T, Svanteson S, Lindfors A, Klareskog L, Catrina A. (2022) &quot;Rheumatic?-A Digital Diagnostic Decision Support Tool for Individuals Suspecting Rheumatic Diseases: A Multicenter Pilot Validation Study&quot; <i>Front Med (Lausanne). 2022 Apr 25;9:774945. doi: 10.3389/fmed.2022.774945. eCollection 2022.</i>	rheumatic-a-digital-diagnostic-decision-support-tool-for-individuals-suspecting-rheumatic-diseases-a-multicenter-pilot-validation-study	https://doi.org/10.3389/fmed.2022.774945
2022-01	Determining in which pre-arthritis stage HLA-shared epitope alleles and smoking exert their effect on the development of rheumatoid arthritis	Ann Rheum Dis	The human leukocyte antigen-shared epitope (HLA-SE) alleles and smoking are the most prominent genetic and environmental risk factors for rheumatoid arthritis (RA). However, at which pre-arthritis stage (asymptomatic/symptomatic) they exert their effect is unknown. We aimed to determine whether HLA-SE and smoking are involved in the onset of autoantibody positivity, symptoms (clinically suspect arthralgia (CSA)) and/or progression to clinical arthritis.	Wouters F, Maurits MP, van Boheemen L, Verstappen M, Mankia K, Matthijssen XME, Dorj&eacute;e AL, Emery P, Knevel R, van Schaardenburg D, Toes REM, van der Helm-van Mil AHM. (2022) &quot;Determining in which pre-arthritis stage HLA-shared epitope alleles and smoking exert their effect on the development of rheumatoid arthritis&quot; <i>Ann Rheum Dis. 2022 Jan;81(1):48-55. doi: 10.1136/annrheumdis-2021-220546. Epub 2021 Jul 20.</i>	determining-in-which-pre-arthritis-stage-hla-shared-epitope-alleles-and-smoking-exert-their-effect-on-the-development-of-rheumatoid-arthritis	https://doi.org/10.1136/annrheumdis-2021-220546
2022 Jun 27	The Disconnect Between Development and Intended Use of Clinical Prediction Models for Covid-19: A Systematic Review and Real-World Data Illustration	Front Epidemiol	The SARS-CoV-2 pandemic has boosted the appearance of clinical predictions models in medical literature. Many of these models aim to provide guidance for decision making on treatment initiation. Special consideration on how to account for post-baseline treatments is needed when developing such models. We examined how post-baseline treatment was handled in published Covid-19 clinical prediction models and we illustrated how much estimated risks may differ according to how treatment is handled.	Prosepe I, Groenwold RHH, Knevel R, Pajouheshnia R, van Geloven N. (2022) &quot;The Disconnect Between Development and Intended Use of Clinical Prediction Models for Covid-19: A Systematic Review and Real-World Data Illustration&quot; <i>Front Epidemiol. 2022 Jun 27;2:899589. doi: 10.3389/fepid.2022.899589. eCollection 2022.</i>	the-disconnect-between-development-and-intended-use-of-clinical-prediction-models-for-covid-19-a-systematic-review-and-real-world-data-illustration	https://doi.org/10.3389/fepid.2022.899589
2022-05	Anti-citrullinated protein antibodies dominate the association of long-term outcomes and anti-modified protein antibodies in rheumatoid arthritis	Lancet Rheumatol	DOI: 10.1016/S2665-9913(22)00095-9PMID: 38294031	van Wesemael TJ, Verstappen M, Knevel R, van der Helm-van Mil AHM, Toes REM, van der Woude D. (2022) &quot;Anti-citrullinated protein antibodies dominate the association of long-term outcomes and anti-modified protein antibodies in rheumatoid arthritis&quot; <i>Lancet Rheumatol. 2022 May;4(5):e316-e317. doi: 10.1016/S2665-9913(22)00095-9.</i>	anti-citrullinated-protein-antibodies-dominate-the-association-of-long-term-outcomes-and-anti-modified-protein-antibodies-in-rheumatoid-arthritis	https://doi.org/10.1016/S2665-9913(22)00095-9
2022 Sep 19	Development and validation of an early warning model for hospitalized COVID-19 patients: a multi-center retrospective cohort study	Intensive Care Med Exp	Timely identification of deteriorating COVID-19 patients is needed to guide changes in clinical management and admission to intensive care units (ICUs). There is significant concern that widely used Early warning scores (EWSs) underestimate illness severity in COVID-19 patients and therefore, we developed an early warning model specifically for COVID-19 patients.	Smit JM, Krijthe JH, Tintu AN, Endeman H, Ludikhuize J, van Genderen ME, Hassan S, El Moussaoui R, Westerweel PE, Goekoop RJ, Waverijn G, Verheijen T, den Hollander JG, de Boer MGJ, Gommers DAMPJ, van der Vlies R, Schellings M, Carels RA, van Nieuwkoop C, Arbous SM, van Bommel J, Knevel R, de Rijke YB, Reinders MJT. (2022) &quot;Development and validation of an early warning model for hospitalized COVID-19 patients: a multi-center retrospective cohort study&quot; <i>Intensive Care Med Exp. 2022 Sep 19;10(1):38. doi: 10.1186/s40635-022-00465-4.</i>	development-and-validation-of-an-early-warning-model-for-hospitalized-covid-19-patients-a-multi-center-retrospective-cohort-study	https://doi.org/10.1186/s40635-022-00465-4
2022-09	E-health as a sine qua non for modern healthcare	RMD Open	In each era we need to balance between being able to provide care with our &quot;technical skill, scientific knowledge, and human understanding&quot; (Harrison's Principles of Internal Medicine, 1950) to the individual patient and simultaneously ensure that our healthcare serves all. With the increasing demand of healthcare by an aging population and the lack of specialists, accessible healthcare within a reasonable time frame is not always guaranteed. E-health provides solutions for current situations where we do not meet our own aims of good healthcare, such as restrictions in access to care and a reduction in care availability by a reducing workforce. In addition, telemedicine offers opportunities to improve our healthcare beyond what is possible by in person visits. However, e-health is often viewed as an deficient version of healthcare of low quality. We disagree with this view. In this article we will discuss how to position e-health in the current situation of healthcare, given the continuing rapid development of digital technologies and the changing needs of healthcare professionals and patients. We will address the evolution of e-health towards connected and intelligent systems and the stakeholders perspective, aiming to open up the discussion on e-Health.	Knevel R, H&uuml;gle T. (2022) &quot;E-health as a sine qua non for modern healthcare&quot; <i>RMD Open. 2022 Sep;8(2):e002401. doi: 10.1136/rmdopen-2022-002401.</i>	e-health-as-a-sine-qua-non-for-modern-healthcare	https://doi.org/10.1136/rmdopen-2022-002401
2023-04	Population-based user-perceived experience of Rheumatic?: a novel digital symptom-checker in rheumatology	RMD Open	Digital symptom-checkers (SCs) have potential to improve rheumatology triage and reduce diagnostic delays. In addition to being accurate, SCs should be user friendly and meet patient's needs. Here, we examined usability and acceptance of Rheumatic?-a new and freely available online SC (currently with >44 000 users)-in a real-world setting.	Lundberg K, Qin L, Aulin C, van Spil WE, Maurits MP, Knevel R. (2023) &quot;Population-based user-perceived experience of Rheumatic?: a novel digital symptom-checker in rheumatology&quot; <i>RMD Open. 2023 Apr;9(2):e002974. doi: 10.1136/rmdopen-2022-002974.</i>	population-based-user-perceived-experience-of-rheumatic-a-novel-digital-symptom-checker-in-rheumatology	https://doi.org/10.1136/rmdopen-2022-002974
2023 Dec 1	The Application of Genetic Risk Scores in Rheumatic Diseases: A Perspective	Genes (Basel)	Modest effect sizes have limited the clinical applicability of genetic associations with rheumatic diseases. Genetic risk scores (GRSs) have emerged as a promising solution to translate genetics into useful tools. In this review, we provide an overview of the recent literature on GRSs in rheumatic diseases. We describe six categories for which GRSs are used: (a) disease (outcome) prediction, (b) genetic commonalities between diseases, (c) disease differentiation, (d) interplay between genetics and environmental factors, (e) heritability and transferability, and (f) detecting causal relationships between traits. In our review of the literature, we identified current lacunas and opportunities for future work. First, the shortage of non-European genetic data restricts the application of many GRSs to European populations. Next, many GRSs are tested in settings enriched for cases that limit the transferability to real life. If intended for clinical application, GRSs are ideally tested in the relevant setting. Finally, there is much to elucidate regarding the co-occurrence of clinical traits to identify shared causal paths and elucidate relationships between the diseases. GRSs are useful instruments for this. Overall, the ever-continuing research on GRSs gives a hopeful outlook into the future of GRSs and indicates significant progress in their potential applications.	Vaskimo LM, Gomon G, Naamane N, Cordell HJ, Pratt A, Knevel R. (2023) &quot;The Application of Genetic Risk Scores in Rheumatic Diseases: A Perspective&quot; <i>Genes (Basel). 2023 Dec 1;14(12):2167. doi: 10.3390/genes14122167.</i>	the-application-of-genetic-risk-scores-in-rheumatic-diseases-a-perspective	https://doi.org/10.3390/genes14122167
2023 Dec 6	Recommendation to implementation of remote patient monitoring in rheumatology: lessons learned and barriers to take	RMD Open	Remote patient monitoring (RPM) leverages advanced technology to monitor and manage patients' health remotely and continuously. In 2022 European Alliance of Associations for Rheumatology (EULAR) points-to-consider for remote care were published to foster adoption of RPM, providing guidelines on where to position RPM in our practices. Sample papers and studies describe the value of RPM. But for many rheumatologists, the unanswered question remains the 'how to?' implement RPM.Using the successful, though not frictionless example of the Southmead rheumatology department, we address three types of barriers for the implementation of RPM: service, clinician and patients, with subsequent learning points that could be helpful for new teams planning to implement RPM. These address, but are not limited to, data governance, selecting high quality cost-effective solutions and ensuring compliance with data protection regulations. In addition, we describe five lacunas that could further improve RPM when addressed: establishing quality standards, creating a comprehensive database of available RPM tools, integrating data with electronic patient records, addressing reimbursement uncertainties and improving digital literacy among patients and healthcare professionals.	Hamann P, Knitza J, Kuhn S, Knevel R. (2023) &quot;Recommendation to implementation of remote patient monitoring in rheumatology: lessons learned and barriers to take&quot; <i>RMD Open. 2023 Dec 6;9(4):e003363. doi: 10.1136/rmdopen-2023-003363.</i>	recommendation-to-implementation-of-remote-patient-monitoring-in-rheumatology-lessons-learned-and-barriers-to-take	https://doi.org/10.1136/rmdopen-2023-003363
2023 Feb 6	Author Correction: Genetic regulation of serum IgA levels and susceptibility to common immune, infectious, kidney, and cardio-metabolic traits	Nat Commun	Liu L(1), Khan A(1), Sanchez-Rodriguez E(1), Zanoni F(1), Li Y(1), Steers N(1), Balderes O(1), Zhang J(1), Krithivasan P(1), LeDesma RA(2), Fischman C(3), Hebbring SJ(4), Harley JB(5)(6)(7), Moncrieffe H(5)(6), Kottyan LC(5)(6), Namjou-Khales B(5)(6), Walunas TL(8), Knevel R(9), Raychaudhuri S(9), Karlson EW(9), Denny JC(10), Stanaway IB(11), Crosslin D(12), Rauen T(13), Floege J(13), Eitner F(13)(14), Moldoveanu Z(15), Reily C(15), Knoppova B(15), Hall S(15), Sheff JT(15), Julian BA(15), Wyatt RJ(16), Suzuki H(17), Xie J(18), Chen N(18), Zhou X(19), Zhang H(19), Hammarstr&ouml;m L(20), Viktorin A(21), Magnusson PKE(21), Shang N(22), Hripcsak G(22), Weng C(22), Rundek T(23)(24), Elkind MSV(25), Oelsner EC(1), Barr RG(26)(27), Ionita-Laza I(28), Novak J(15), Gharavi AG(1), Kiryluk K(29).	Liu L, Khan A, Sanchez-Rodriguez E, Zanoni F, Li Y, Steers N, Balderes O, Zhang J, Krithivasan P, LeDesma RA, Fischman C, Hebbring SJ, Harley JB, Moncrieffe H, Kottyan LC, Namjou-Khales B, Walunas TL, Knevel R, Raychaudhuri S, Karlson EW, Denny JC, Stanaway IB, Crosslin D, Rauen T, Floege J, Eitner F, Moldoveanu Z, Reily C, Knoppova B, Hall S, Sheff JT, Julian BA, Wyatt RJ, Suzuki H, Xie J, Chen N, Zhou X, Zhang H, Hammarstr&ouml;m L, Viktorin A, Magnusson PKE, Shang N, Hripcsak G, Weng C, Rundek T, Elkind MSV, Oelsner EC, Barr RG, Ionita-Laza I, Novak J, Gharavi AG, Kiryluk K. (2023) &quot;Author Correction: Genetic regulation of serum IgA levels and susceptibility to common immune, infectious, kidney, and cardio-metabolic traits&quot; <i>Nat Commun. 2023 Feb 6;14(1):655. doi: 10.1038/s41467-023-36340-3.</i>	author-correction-genetic-regulation-of-serum-iga-levels-and-susceptibility-to-common-immune-infectious-kidney-and-cardio-metabolic-traits	https://doi.org/10.1038/s41467-023-36340-3
2023-02	The Role of Genetics in Clinically Suspect Arthralgia and Rheumatoid Arthritis Development: A Large Cross-Sectional Study	Arthritis Rheumatol	To investigate whether established genetic predictors for rheumatoid arthritis (RA) differentiate healthy controls, patients with clinically suspect arthralgia (CSA), and RA patients.	Maurits MP, Wouters F, Niemantsverdriet E, Huizinga TWJ, van den Akker EB, Le Cessie S, van der Helm-van Mil AHM, Knevel R. (2023) &quot;The Role of Genetics in Clinically Suspect Arthralgia and Rheumatoid Arthritis Development: A Large Cross-Sectional Study&quot; <i>Arthritis Rheumatol. 2023 Feb;75(2):178-186. doi: 10.1002/art.42323. Epub 2022 Dec 13.</i>	the-role-of-genetics-in-clinically-suspect-arthralgia-and-rheumatoid-arthritis-development-a-large-cross-sectional-study	https://doi.org/10.1002/art.42323
2023-03	From real-world electronic health record data to real-world results using artificial intelligence	Ann Rheum Dis	With the worldwide digitalisation of medical records, electronic health records (EHRs) have become an increasingly important source of real-world data (RWD). RWD can complement traditional study designs because it captures almost the complete variety of patients, leading to more generalisable results. For rheumatology, these data are particularly interesting as our diseases are uncommon and often take years to develop. In this review, we discuss the following concepts related to the use of EHR for research and considerations for translation into clinical care: EHR data contain a broad collection of healthcare data covering the multitude of real-life patients and the healthcare processes related to their care. Machine learning (ML) is a powerful method that allows us to leverage a large amount of heterogeneous clinical data for clinical algorithms, but requires extensive training, testing, and validation. Patterns discovered in EHR data using ML are applicable to real life settings, however, are also prone to capturing the local EHR structure and limiting generalisability outside the EHR(s) from which they were developed. Population studies on EHR necessitates knowledge on the factors influencing the data available in the EHR to circumvent biases, for example, access to medical care, insurance status. In summary, EHR data represent a rapidly growing and key resource for real-world studies. However, transforming RWD EHR data for research and for real-world evidence using ML requires knowledge of the EHR system and their differences from existing observational data to ensure that studies incorporate rigorous methods that acknowledge or address factors such as access to care, noise in the data, missingness and indication bias.	Knevel R, Liao KP. (2023) &quot;From real-world electronic health record data to real-world results using artificial intelligence&quot; <i>Ann Rheum Dis. 2023 Mar;82(3):306-311. doi: 10.1136/ard-2022-222626. Epub 2022 Sep 23.</i>	from-real-world-electronic-health-record-data-to-real-world-results-using-artificial-intelligence	https://doi.org/10.1136/ard-2022-222626
2023-10	Rapid Response to Remdesivir in Hospitalised COVID-19 Patients: A Propensity Score Weighted Multicentre Cohort Study	Infect Dis Ther	Remdesivir is a registered treatment for hospitalised patients with COVID-19 that has moderate clinical effectiveness. Anecdotally, some patients' respiratory insufficiency seemed to recover particularly rapidly after initiation of remdesivir. In this study, we investigated if this rapid improvement was caused by remdesivir, and which patient characteristics might predict a rapid clinical improvement in response to remdesivir.	Leegwater E, Dol L, Benard MR, Roelofsen EE, Delfos NM, van der Feltz M, Mollema FPN, Bosma LBE, Visser LE, Ottens TH, van Burgel ND, Arbous SM, El Bouazzaoui LH, Knevel R, Groenwold RHH, de Boer MGJ, Visser LG, Rosendaal FR, Wilms EB, van Nieuwkoop C. (2023) &quot;Rapid Response to Remdesivir in Hospitalised COVID-19 Patients: A Propensity Score Weighted Multicentre Cohort Study&quot; <i>Infect Dis Ther. 2023 Oct;12(10):2471-2484. doi: 10.1007/s40121-023-00874-2. Epub 2023 Oct 6.</i>	rapid-response-to-remdesivir-in-hospitalised-covid-19-patients-a-propensity-score-weighted-multicentre-cohort-study	https://doi.org/10.1007/s40121-023-00874-2
2024-02	Is glucocorticoid bridging therapy associated with later use of glucocorticoids and biological DMARDs during the disease course of patients with rheumatoid arthritis in daily practice? A real-world data analysis	Semin Arthritis Rheum	To evaluate if initially starting glucocorticoid (GC) bridging leads to a higher probability of long-term GC and biological (b)DMARD use in rheumatoid arthritis (RA)-patients.	van Ouwerkerk L, Bergstra SA, Maarseveen TD, Huizinga TWJ, Knevel R, Allaart CF. (2024) &quot;Is glucocorticoid bridging therapy associated with later use of glucocorticoids and biological DMARDs during the disease course of patients with rheumatoid arthritis in daily practice? A real-world data analysis&quot; <i>Semin Arthritis Rheum. 2024 Feb;64:152305. doi: 10.1016/j.semarthrit.2023.152305. Epub 2023 Nov 10.</i>	is-glucocorticoid-bridging-therapy-associated-with-later-use-of-glucocorticoids-and-biological-dmards-during-the-disease-course-of-patients-with-rheumatoid-arthritis-in-daily-practice-a-real-world-data-analysis	https://doi.org/10.1016/j.semarthrit.2023.152305
