record_id,member_ids,member_names,record_type,title,date,date_display,year,venue,location,role,authors,citation,doi,url,pubmed_id,abstract_or_description,image,visibility,featured,source_file,permalink,notes_private
pub_2021-may-van-leeuwen-nm-rmd-open-2021,rachel_knevel;marc_maurits,Rachel Knevel;Marc Maurits,publication,New risk model is able to identify patients with a low risk of progression in systemic sclerosis,2021-05,2021 May,2021,RMD Open,,author,,"van Leeuwen NM, Maurits M, Liem S, Ciaffi J, Ajmone Marsan N, Ninaber M, Allaart C, Gillet van Dongen H, Goekoop R, Huizinga T, Knevel R, De Vries-Bouwstra J. (2021) &quot;New risk model is able to identify patients with a low risk of progression in systemic sclerosis&quot; <i>RMD Open. 2021 May;7(2):e001524. doi: 10.1136/rmdopen-2020-001524.</i>",10.1136/rmdopen-2020-001524,https://doi.org/10.1136/rmdopen-2020-001524,,To develop a prediction model to guide annual assessment of systemic sclerosis (SSc) patients tailored in accordance to disease activity.,,public,,_publications/2021 May-van_Leeuwen_NM_RMD Open_2021.md,/publication/2021 May-van_Leeuwen_NM_RMD Open_2021,
pub_2022-apr-25-knevel-r-front-med-lausanne-2022,rachel_knevel;tjardo_maarseveen;marc_maurits,Rachel Knevel;Tjardo Maarseveen;Marc Maurits,publication,Rheumatic?-A Digital Diagnostic Decision Support Tool for Individuals Suspecting Rheumatic Diseases: A Multicenter Pilot Validation Study,2022 Apr 25,2022 Apr 25,2022,Front Med (Lausanne),,author,,"Knevel R, Knitza J, Hensvold A, Circiumaru A, Bruce T, Evans S, Maarseveen T, Maurits M, Beaart-van de Voorde L, Simon D, Kleyer A, Johannesson M, Schett G, Huizinga T, Svanteson S, Lindfors A, Klareskog L, Catrina A. (2022) &quot;Rheumatic?-A Digital Diagnostic Decision Support Tool for Individuals Suspecting Rheumatic Diseases: A Multicenter Pilot Validation Study&quot; <i>Front Med (Lausanne). 2022 Apr 25;9:774945. doi: 10.3389/fmed.2022.774945. eCollection 2022.</i>",10.3389/fmed.2022.774945,https://doi.org/10.3389/fmed.2022.774945,,Digital diagnostic decision support tools promise to accelerate diagnosis and increase health care efficiency in rheumatology. Rheumatic? is an online tool developed by specialists in rheumatology and general medicine together with patients and patient organizations. It calculates a risk score for several rheumatic diseases. We ran a pilot study retrospectively testing Rheumatic? for its ability to differentiate symptoms from existing or emerging immune-mediated rheumatic diseases from other rheumatic and musculoskeletal complaints and disorders in patients visiting rheumatology clinics.MATERIALS AND ,,public,,_publications/2022 Apr 25-Knevel_R_Front Med (Lausanne)_2022.md,/publication/2022 Apr 25-Knevel_R_Front Med (Lausanne)_2022,
pub_2022-jan-wouters-f-ann-rheum-dis-2022,rachel_knevel;marc_maurits,Rachel Knevel;Marc Maurits,publication,Determining in which pre-arthritis stage HLA-shared epitope alleles and smoking exert their effect on the development of rheumatoid arthritis,2022-01,2022 Jan,2022,Ann Rheum Dis,,author,,"Wouters F, Maurits MP, van Boheemen L, Verstappen M, Mankia K, Matthijssen XME, Dorj&eacute;e AL, Emery P, Knevel R, van Schaardenburg D, Toes REM, van der Helm-van Mil AHM. (2022) &quot;Determining in which pre-arthritis stage HLA-shared epitope alleles and smoking exert their effect on the development of rheumatoid arthritis&quot; <i>Ann Rheum Dis. 2022 Jan;81(1):48-55. doi: 10.1136/annrheumdis-2021-220546. Epub 2021 Jul 20.</i>",10.1136/annrheumdis-2021-220546,https://doi.org/10.1136/annrheumdis-2021-220546,,"The human leukocyte antigen-shared epitope (HLA-SE) alleles and smoking are the most prominent genetic and environmental risk factors for rheumatoid arthritis (RA). However, at which pre-arthritis stage (asymptomatic/symptomatic) they exert their effect is unknown. We aimed to determine whether HLA-SE and smoking are involved in the onset of autoantibody positivity, symptoms (clinically suspect arthralgia (CSA)) and/or progression to clinical arthritis.",,public,,_publications/2022 Jan-Wouters_F_Ann Rheum Dis_2022.md,/publication/2022 Jan-Wouters_F_Ann Rheum Dis_2022,
pub_2022-jun-27-prosepe-i-front-epidemiol-2022,rachel_knevel,Rachel Knevel,publication,The Disconnect Between Development and Intended Use of Clinical Prediction Models for Covid-19: A Systematic Review and Real-World Data Illustration,2022 Jun 27,2022 Jun 27,2022,Front Epidemiol,,author,,"Prosepe I, Groenwold RHH, Knevel R, Pajouheshnia R, van Geloven N. (2022) &quot;The Disconnect Between Development and Intended Use of Clinical Prediction Models for Covid-19: A Systematic Review and Real-World Data Illustration&quot; <i>Front Epidemiol. 2022 Jun 27;2:899589. doi: 10.3389/fepid.2022.899589. eCollection 2022.</i>",10.3389/fepid.2022.899589,https://doi.org/10.3389/fepid.2022.899589,,The SARS-CoV-2 pandemic has boosted the appearance of clinical predictions models in medical literature. Many of these models aim to provide guidance for decision making on treatment initiation. Special consideration on how to account for post-baseline treatments is needed when developing such models. We examined how post-baseline treatment was handled in published Covid-19 clinical prediction models and we illustrated how much estimated risks may differ according to how treatment is handled.,,public,,_publications/2022 Jun 27-Prosepe_I_Front Epidemiol_2022.md,/publication/2022 Jun 27-Prosepe_I_Front Epidemiol_2022,
pub_2022-may-van-wesemael-tj-lancet-rheumatol-2022,rachel_knevel,Rachel Knevel,publication,Anti-citrullinated protein antibodies dominate the association of long-term outcomes and anti-modified protein antibodies in rheumatoid arthritis,2022-05,2022 May,2022,Lancet Rheumatol,,author,,"van Wesemael TJ, Verstappen M, Knevel R, van der Helm-van Mil AHM, Toes REM, van der Woude D. (2022) &quot;Anti-citrullinated protein antibodies dominate the association of long-term outcomes and anti-modified protein antibodies in rheumatoid arthritis&quot; <i>Lancet Rheumatol. 2022 May;4(5):e316-e317. doi: 10.1016/S2665-9913(22)00095-9.</i>",10.1016/S2665-9913(22)00095-9,https://doi.org/10.1016/S2665-9913(22)00095-9,,DOI: 10.1016/S2665-9913(22)00095-9PMID: 38294031,,public,,_publications/2022 May-van_Wesemael_TJ_Lancet Rheumatol_2022.md,/publication/2022 May-van_Wesemael_TJ_Lancet Rheumatol_2022,
pub_2022-sep-19-smit-jm-intensive-care-med-exp-2022,rachel_knevel;tim_verheijen,Rachel Knevel;Tim Verheijen,publication,Development and validation of an early warning model for hospitalized COVID-19 patients: a multi-center retrospective cohort study,2022 Sep 19,2022 Sep 19,2022,Intensive Care Med Exp,,author,,"Smit JM, Krijthe JH, Tintu AN, Endeman H, Ludikhuize J, van Genderen ME, Hassan S, El Moussaoui R, Westerweel PE, Goekoop RJ, Waverijn G, Verheijen T, den Hollander JG, de Boer MGJ, Gommers DAMPJ, van der Vlies R, Schellings M, Carels RA, van Nieuwkoop C, Arbous SM, van Bommel J, Knevel R, de Rijke YB, Reinders MJT. (2022) &quot;Development and validation of an early warning model for hospitalized COVID-19 patients: a multi-center retrospective cohort study&quot; <i>Intensive Care Med Exp. 2022 Sep 19;10(1):38. doi: 10.1186/s40635-022-00465-4.</i>",10.1186/s40635-022-00465-4,https://doi.org/10.1186/s40635-022-00465-4,,"Timely identification of deteriorating COVID-19 patients is needed to guide changes in clinical management and admission to intensive care units (ICUs). There is significant concern that widely used Early warning scores (EWSs) underestimate illness severity in COVID-19 patients and therefore, we developed an early warning model specifically for COVID-19 patients.",,public,,_publications/2022 Sep 19-Smit_JM_Intensive Care Med Exp_2022.md,/publication/2022 Sep 19-Smit_JM_Intensive Care Med Exp_2022,
pub_2022-sep-knevel-r-rmd-open-2022,rachel_knevel,Rachel Knevel,publication,E-health as a sine qua non for modern healthcare,2022-09,2022 Sep,2022,RMD Open,,author,,"Knevel R, H&uuml;gle T. (2022) &quot;E-health as a sine qua non for modern healthcare&quot; <i>RMD Open. 2022 Sep;8(2):e002401. doi: 10.1136/rmdopen-2022-002401.</i>",10.1136/rmdopen-2022-002401,https://doi.org/10.1136/rmdopen-2022-002401,,"In each era we need to balance between being able to provide care with our &quot;technical skill, scientific knowledge, and human understanding&quot; (Harrison's Principles of Internal Medicine, 1950) to the individual patient and simultaneously ensure that our healthcare serves all. With the increasing demand of healthcare by an aging population and the lack of specialists, accessible healthcare within a reasonable time frame is not always guaranteed. E-health provides solutions for current situations where we do not meet our own aims of good healthcare, such as restrictions in access to care and a reduction in care availability by a reducing workforce. In addition, telemedicine offers opportunities to improve our healthcare beyond what is possible by in person visits. However, e-health is often viewed as an deficient version of healthcare of low quality. We disagree with this view. In this article we will discuss how to position e-health in the current situation of healthcare, given the continuing rapid development of digital technologies and the changing needs of healthcare professionals and patients. We will address the evolution of e-health towards connected and intelligent systems and the stakeholders perspective, aiming to open up the discussion on e-Health.",,public,,_publications/2022 Sep-Knevel_R_RMD Open_2022.md,/publication/2022 Sep-Knevel_R_RMD Open_2022,
pub_2023-apr-lundberg-k-rmd-open-2023,rachel_knevel;marc_maurits;ling_qing,Rachel Knevel;Marc Maurits;Ling Qing,publication,Population-based user-perceived experience of Rheumatic?: a novel digital symptom-checker in rheumatology,2023-04,2023 Apr,2023,RMD Open,,author,,"Lundberg K, Qin L, Aulin C, van Spil WE, Maurits MP, Knevel R. (2023) &quot;Population-based user-perceived experience of Rheumatic?: a novel digital symptom-checker in rheumatology&quot; <i>RMD Open. 2023 Apr;9(2):e002974. doi: 10.1136/rmdopen-2022-002974.</i>",10.1136/rmdopen-2022-002974,https://doi.org/10.1136/rmdopen-2022-002974,,"Digital symptom-checkers (SCs) have potential to improve rheumatology triage and reduce diagnostic delays. In addition to being accurate, SCs should be user friendly and meet patient's needs. Here, we examined usability and acceptance of Rheumatic?-a new and freely available online SC (currently with >44 000 users)-in a real-world setting.",,public,,_publications/2023 Apr-Lundberg_K_RMD Open_2023.md,/publication/2023 Apr-Lundberg_K_RMD Open_2023,
pub_2023-dec-1-vaskimo-lm-genes-basel-2023,rachel_knevel;georgy_gomon;lotta_vaskimo,Rachel Knevel;Georgy Gomon;Lotta Vaskimo,publication,The Application of Genetic Risk Scores in Rheumatic Diseases: A Perspective,2023 Dec 1,2023 Dec 1,2023,Genes (Basel),,author,,"Vaskimo LM, Gomon G, Naamane N, Cordell HJ, Pratt A, Knevel R. (2023) &quot;The Application of Genetic Risk Scores in Rheumatic Diseases: A Perspective&quot; <i>Genes (Basel). 2023 Dec 1;14(12):2167. doi: 10.3390/genes14122167.</i>",10.3390/genes14122167,https://doi.org/10.3390/genes14122167,,"Modest effect sizes have limited the clinical applicability of genetic associations with rheumatic diseases. Genetic risk scores (GRSs) have emerged as a promising solution to translate genetics into useful tools. In this review, we provide an overview of the recent literature on GRSs in rheumatic diseases. We describe six categories for which GRSs are used: (a) disease (outcome) prediction, (b) genetic commonalities between diseases, (c) disease differentiation, (d) interplay between genetics and environmental factors, (e) heritability and transferability, and (f) detecting causal relationships between traits. In our review of the literature, we identified current lacunas and opportunities for future work. First, the shortage of non-European genetic data restricts the application of many GRSs to European populations. Next, many GRSs are tested in settings enriched for cases that limit the transferability to real life. If intended for clinical application, GRSs are ideally tested in the relevant setting. Finally, there is much to elucidate regarding the co-occurrence of clinical traits to identify shared causal paths and elucidate relationships between the diseases. GRSs are useful instruments for this. Overall, the ever-continuing research on GRSs gives a hopeful outlook into the future of GRSs and indicates significant progress in their potential applications.",,public,,_publications/2023 Dec 1-Vaskimo_LM_Genes (Basel)_2023.md,/publication/2023 Dec 1-Vaskimo_LM_Genes (Basel)_2023,
pub_2023-dec-6-hamann-p-rmd-open-2023,rachel_knevel,Rachel Knevel,publication,Recommendation to implementation of remote patient monitoring in rheumatology: lessons learned and barriers to take,2023 Dec 6,2023 Dec 6,2023,RMD Open,,author,,"Hamann P, Knitza J, Kuhn S, Knevel R. (2023) &quot;Recommendation to implementation of remote patient monitoring in rheumatology: lessons learned and barriers to take&quot; <i>RMD Open. 2023 Dec 6;9(4):e003363. doi: 10.1136/rmdopen-2023-003363.</i>",10.1136/rmdopen-2023-003363,https://doi.org/10.1136/rmdopen-2023-003363,,"Remote patient monitoring (RPM) leverages advanced technology to monitor and manage patients' health remotely and continuously. In 2022 European Alliance of Associations for Rheumatology (EULAR) points-to-consider for remote care were published to foster adoption of RPM, providing guidelines on where to position RPM in our practices. Sample papers and studies describe the value of RPM. But for many rheumatologists, the unanswered question remains the 'how to?' implement RPM.Using the successful, though not frictionless example of the Southmead rheumatology department, we address three types of barriers for the implementation of RPM: service, clinician and patients, with subsequent learning points that could be helpful for new teams planning to implement RPM. These address, but are not limited to, data governance, selecting high quality cost-effective solutions and ensuring compliance with data protection regulations. In addition, we describe five lacunas that could further improve RPM when addressed: establishing quality standards, creating a comprehensive database of available RPM tools, integrating data with electronic patient records, addressing reimbursement uncertainties and improving digital literacy among patients and healthcare professionals.",,public,,_publications/2023 Dec 6-Hamann_P_RMD Open_2023.md,/publication/2023 Dec 6-Hamann_P_RMD Open_2023,
