title	type	url_slug	venue	date	location	talk_url	description
EULAR 2021 Remission Genetics	Poster by Samantha Jurado Zapata	eular-2021-remission-genetics	EULAR 2021	2021-06-02	Online	http://scientific.sparx-ip.net/archiveeular/?c=a&item=2021POS0348	Poster presentation of the work performed by S Jurado-Zapata on the role of RA genetics in reaching remission
EULAR Genetics and Inflammatory Synovitis	Oral Presentation by Rachel Knevel	eular-genetics-and-inflammatory-synovitis	EULAR 2021	2021-06-03	Online		
ICS EHR and Bioinformatics	Oral Presentation by Rachel Knevel	ics-ehr-and-bioinformatics	12th International Congress on Spondyloarthritis	2021-09-21	Ghent, Belgium		Presentation by Rachel Knevel on how to link clinical observations with new knowledge generation
ACR 2021 CSA Genetics	Poster by Marc Maurits	acr-2021-csa-genetics	ACR 2021	2021-10-28	Online	https://acrabstracts.org/abstract/the-relationship-of-genetics-and-clinically-suspect-arthralgia-in-ra-development-assessed-using-hc-csa-and-ra-patients/	Poster presentation of the work performed by MP Maurits on the role of RA genetics in CSA
ACR 2021 Remission Genetics	Poster by Marc Maurits	acr-2021-remission-genetics	ACR 2021	2021-10-28	Online	https://acrabstracts.org/abstract/genetics-of-rheumatoid-arthritis-remission-hla-se-associated-with-remission-in-anti-ccp-positive-patients/	Poster presentation of the work performed by MP Maurits on the role of RA genetics in reaching remission
IVAPP 2022 Wordclouds	Oral Presentation by Marc Maurits	ivapp-2022-wordclouds	IVAPP 2022	2022-02-06	Online	https://www.scitepress.org/Link.aspx?doi=10.5220/0010778700003124	Oral presentation on the work performedby MP Maurits on word cloud scaling
ATT Telemedicine	Debate featuring Rachel Knevel	att-telemedicine	Advanced Targeted Therapies	2022-03-26	Marseille, France		A debate on the future of telemedicine
FMS AI and clinical practice	Oral Presentation by Rachel Knevel	fms-ai-and-clinical-practice	(Dutch) Federation of Medical Specialists	2022-05-17	Utrecht, the Netherlands		Rachel Knevel talks about the challenges faced by medical specialists in using AI-based techniques and interpreting AI-driven research
EULAR 2022 EHR Trajectories	Poster by Daan van der Bijl	eular-2022-ehr-trajectories	EULAR 2022	2022-06-01	Copenhagen, Denmark	http://scientific.sparx-ip.net/archiveeular/?c=a&item=2022POS0534	Poster presentation of the work performed by D van der Bijl on RA patient trajectories as extracted from EHRs
EULAR 2022 EHR Clustering	Poster by Tjardo Maarseveen	eular-2022-ehr-clustering	EULAR 2022	2022-06-01	Copenhagen, Denmark	http://scientific.sparx-ip.net/archiveeular/?c=a&item=2022POS0570	Poster presentation of the work performed by TD Maarseveen on the clustering of RA patients using baseline EHR data
post-EULAR AI and Big Data	Oral Presentation by Rachel Knevel	post-eular-ai-and-big-data	post-EULAR Symposium 2022	2022-06-14	Amersfoort, the Netherlands		Presentation by Rachel Knevel on AI and Big Data in RMDs
BioSB 2022 EHR Clustering	Oral Presentation by Tjardo Maarseveen	biosb-2022-ehr-clustering	BioSB 2022	2022-06-28	Lunteren, The Netherlands		Oral presentation of the work performed by TD Maarseveen on the clustering of RA patients using baseline EHR data
TT Genetics	Oral Presentation by Rachel Knevel	tt-genetics	Therapeutic Tolerance 2022	2022-07-01	Newcastle, England		Rachel Knevel discusses the value of genetics in helping us to understand drug-free remission
PrES Machine Learning	Oral Presentation by Rachel Knevel	pres-machine-learning	28th European Pediatric Rheumatology Congress	2022-09-23	Prague, Czech Republic		Presentation by Rachel Knevel on big data analysis and machine learning
Post-ACR AI and RWD	Workshop by Rachel Knevel	post-acr-ai-and-rwd	ACR Review 2022	2022-11-29	Amersfoort, the Netherlands		Workshop by Rachel Knevel on Real-World Data (RWD) and artificial intelligence
DRD Rheumatic?	Oral Presentation by Rachel Knevel	drd-rheumatic	Digital Rheumatology Day 2023	2023-05-06	Berlin, Germany		Rachel Knevel presents a population based validation study on Rheumatic?, a digital diagnostic decision support tool for individuals suspecting rheumatic diseases
NVR AI, Holy Grail or Epic Fail?	Discussion featuring Rachel Knevel	nvr-ai-holy-grail-or-epic-fail	NVR 2023	2023-09-28	Arnhem, the Netherlands		A discussion, hosted by Rachel Knevel, about the opportunities and dangers posed by AI in healthcare
EULAR 2024 Patient trajectories	Oral Presentation by Nils Steinz	eular-2024-patient-trajectories	EULAR 2024	2024-06-12	Vienna, Austria	https://scientific.sparx-ip.net/archiveeular/?c=a&item=2024OP0018	Dissecting early RA patient trajectories through time-independent disease state identification identifies distinct patterns dissected by inflammation in blood or joints
EULAR 2024 EUMENET	Oral Presentation by Rachel Knevel	eular-2024-eumenet	EULAR 2024	2024-06-12	Vienna, Austria	https://apps-congress.eular.org/eular2024/en-GB/pag/presentation/16310	How to establish a successful European research consortium?
EULAR 2024 Rheumatic attrition	Poster by Floor Zegers	eular-2024-rheumatic-attrition	EULAR 2024	2024-06-13	Vienna, Austria	https://scientific.sparx-ip.net/archiveeular/?c=a&item=2024POS0750	Who participates in an online symptom checker? Characteristics, attrition and representativeness in the Rheumatic? study
EULAR 2024 ML Diagnoses	Poster by Tjardo Maarseveen	eular-2024-ml-diagnoses	EULAR 2024	2024-06-13	Vienna, Austria	https://scientific.sparx-ip.net/archiveeular/?c=a&item=2024POS0587	Employing machine learning to predict RA diagnosis from referral letters by the general practitioner
EULAR 2024 RA subsets	Poster by Tjardo Maarseveen	eular-2024-ra-subsets	EULAR 2024	2024-06-13	Vienna, Austria	https://scientific.sparx-ip.net/archiveeular/?c=a&item=2024POS0589	EHR defined baseline RA-subsets characterised by localised joint involvement differentially associate with genetic risk and clinical outcomes beyond baseline
DRD 2025 AI-Enhanced Triage	Oral Presentation by Tjardo Maarseveen	drd-2025-ai-enhanced-triage	Digital Rheumatology Days 2025	2025-03-22	Berlin, Germany		AI-Enhanced Triage: Improving Musculoskeletal Care with Data Driven Screening of Referral Letters
EULAR 2025 Characterizing the Primary Care Musculoskeletal Trajectory and Predicting Referral to the Rheumatologist	Poster Presentation by Georgy Gomon	eular-2025-characterizing-the-primary-care-musculoskeletal-trajectory-and-predicting-referral-to-the-rheumatologist	EULAR 2025	2025-06-12	Barcelona, Spain	https://ard.eular.org/article/S0003-4967(25	01817-5/abstract) This project analyzed over 430,000 musculoskeletal patient trajectories in Dutch primary care to model and predict rheumatology referrals, showing that referral likelihood can be accurately identified from the very first musculoskeletal consultation using routinely collected clinical data.
EULAR 2025 Gene expression mediated RA Risk	Oral Presentation by Inez den Hond	eular-2025-gene-expression-mediated-ra-risk	EULAR 2025	2025-06-12	Barcelona, Spain	https://ard.eular.org/article/S0003-4967(25	01209-9/abstract) GWAS-identified RA susceptibility genes are non-uniformly expressed across RA subsets (pathotypes), with the majority of the RA susceptibility genes being upregulated in the lymphoid-rich pathotype. On the other hand, osteoarthritis susceptibility genes are primarily upregulated in fibroid- and myeloid-rich synovial tissue.
EULAR 2025 Joint Patterns	Oral Presentation by Tjardo Maarseveen	eular-2025-joint-patterns	EULAR 2025	2025-06-13	Barcelona, Spain	http://scientific.sparx-ip.net/archiveeular/index.cfm?c=a&item=2025OP0328	Distinct Joint Patterns in Treatment-Naive RA also correspond to Histological Variations
EULAR 2025 Add-on vs replacement csDMARD	Oral Presentation by Nils Steinz	eular-2025-add-on-vs-replacement-csdmard	EULAR 2025	2025-06-18	Barcelona, Spain	https://www.sciencedirect.com/science/article/abs/pii/S0003496725012385	Evaluating the effectiveness and patterns of csDMARD strategies in early RA patients who failed first-line methotrexate (MTX), across European healthcare systems.
ISCB 2025 Multistate Models with Restricted Transition Windows: The Impact of Time Scale Choice	Oral Presentation by Georgy Gomon	iscb-2025-multistate-models-with-restricted-transition-windows-the-impact-of-time-scale-choice	ISCB 2025	2025-08-27	Basel, Switzerland	https://iscb2025.info/data/ISCB46_Conference_Book.pdf	Investigates how time-restricted transitions (transitions between states that can only occur within certain time windows) can best be modelled within the framework of a multistate model.
ACR Journal Club 2025 Disease State defining Patient Trajectories 	Oral Presentation by Rachel Knevel	acr-journal-club-2025-disease-state-defining-patient-trajectories	ARC Journal Club with the Editors 2025	2025-10-01	America		Time-Independent Disease State Identification Defines Distinct Trajectories Determined by Localized vs Systemic Inflammation in Patients with Early Rheumatoid Arthritis
ARC 2025 Rheumatology 2.0	Oral Presentation by Rachel Knevel	arc-2025-rheumatology-2-0	ARC Morning Programme December 2025	2025-12-10	Amsterdam, The Netherlands	https://ams-rc.com/en/evenement/arc-ochtend-10-december-2025/	Distilling knowledge from EHR with AI
Met AI en data naar betere reumazorg: Het Europese SPIDeRR-project		met-ai-en-data-naar-betere-reumazorg-het-europese-spiderr-project	Neth-ER	2025-05-06		https://www.neth-er.eu/onderwijs/uitgelicht-met-ai-en-data-naar-betere-reumazorg-het-europese-spiderr-project	
